Time,Power [kW]
0:00,0.32
0:15,0.27
0:30,0.13
0:45,0.12
1:00,0.15
1:15,0.07
1:30,0.15
1:45,0.44
2:00,0.43
2:15,0.47
2:30,0.3
2:45,0.16
3:00,0.12
3:15,0.09
3:30,0.16
3:45,0.13
4:00,0.13
4:15,0.11
4:30,0.1
4:45,0.18
5:00,0.05
5:15,0.13
5:30,0.11
5:45,0.14
6:00,0.92
6:15,0.17
6:30,0.26
6:45,0.21
7:00,0.23
7:15,0.12
7:30,0.07
7:45,0.16
8:00,0.09
8:15,0.1
8:30,0.12
8:45,0.12
9:00,0.13
9:15,0.1
9:30,0.12
9:45,0.34
10:00,0.22
10:15,0.28
10:30,0.28
10:45,0.84
11:00,0.14
11:15,0.11
11:30,0.14
11:45,0.06
12:00,0.66
12:15,0.28
12:30,0.22
12:45,0.07
13:00,0.37
13:15,0.23
13:30,0.22
13:45,0.25
14:00,0.22
14:15,0.14
14:30,0.07
14:45,0.14
15:00,0.14
15:15,0.11
15:30,0.14
15:45,2.14
16:00,0.6
16:15,0.32
16:30,0.55
16:45,0.91
17:00,0.67
17:15,0.69
17:30,0.93
17:45,0.8
18:00,0.44
18:15,0.42
18:30,0.43
18:45,0.45
19:00,0.64
19:15,0.51
19:30,0.43
19:45,0.41
20:00,0.43
20:15,0.42
20:30,0.43
20:45,0.43
21:00,0.37
21:15,0.42
21:30,0.5
21:45,0.35
22:00,0.39
22:15,0.46
22:30,0.35
22:45,0.52
23:00,0.61
23:15,0.5
23:30,0.45
23:45,0.36
0:00,0.39
0:15,0.48
0:30,0.35
0:45,0.41
1:00,0.46
1:15,0.47
1:30,0.51
1:45,0.13
2:00,0.18
2:15,0.16
2:30,0.09
2:45,0.13
3:00,0.17
3:15,0.23
3:30,0.15
3:45,0.09
4:00,0.15
4:15,0.17
4:30,0.07
4:45,0.14
5:00,0.16
5:15,0.95
5:30,0.61
5:45,0.37
6:00,0.5
6:15,0.27
6:30,0.09
6:45,0.15
7:00,0.1
7:15,0.15
7:30,0.15
7:45,0.07
8:00,0.16
8:15,0.11
8:30,0.18
8:45,0.14
9:00,0.06
9:15,0.15
9:30,0.13
9:45,0.13
10:00,0.14
10:15,0.26
10:30,0.32
10:45,0.27
11:00,0.2
11:15,0.27
11:30,0.66
11:45,0.83
12:00,0.36
12:15,0.38
12:30,0.61
12:45,0.75
13:00,0.35
13:15,0.12
13:30,0.38
13:45,0.14
14:00,0.29
14:15,0.61
14:30,0.29
14:45,0.3
15:00,0.2
15:15,0.31
15:30,0.27
15:45,0.19
16:00,0.19
16:15,0.17
16:30,0.18
16:45,0.18
17:00,0.32
17:15,0.34
17:30,0.33
17:45,0.53
18:00,0.64
18:15,0.5
18:30,0.49
18:45,0.34
19:00,0.46
19:15,0.36
19:30,1.73
19:45,2.06
20:00,0.75
20:15,0.75
20:30,0.7
20:45,0.67
21:00,0.45
21:15,0.46
21:30,0.47
21:45,0.43
22:00,0.52
22:15,0.64
22:30,0.47
22:45,1.93
23:00,2.46
23:15,2.44
23:30,2.17
23:45,1.77
0:00,0.62
0:15,0.36
0:30,0.44
0:45,0.36
1:00,0.13
1:15,0.14
1:30,0.11
1:45,0.12
2:00,0.17
2:15,0.07
2:30,0.13
2:45,0.09
3:00,0.15
3:15,0.15
3:30,0.06
3:45,0.52
4:00,0.91
4:15,0.48
4:30,0.46
4:45,0.33
5:00,0.13
5:15,0.11
5:30,0.15
5:45,0.12
6:00,0.1
6:15,0.13
6:30,0.11
6:45,0.15
7:00,0.25
